training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.817084		0.531516		0.324072		0.739232		0.018781		0.447995		0.795600		0.714000		0.777200
0.816363		0.531698		0.331404		0.739232		0.017870		0.447667		0.793200		0.714000		0.778000
0.815642		0.531051		0.337427		0.739232		0.017284		0.447324		0.793600		0.714000		0.774400
0.815462		0.529510		0.325224		0.739232		0.018632		0.446564		0.796800		0.714000		0.778000
0.816003		0.526683		0.332922		0.739232		0.018611		0.446061		0.798400		0.714000		0.776400
0.819066		0.527096		0.340713		0.739232		0.018582		0.446641		0.708400		0.714000		0.760000
0.711119		0.555992		0.325186		0.739232		0.033842		0.503582		0.705600		0.714000		0.770800
0.727699		0.607772		0.321544		0.739232		0.036363		0.537320		0.766000		0.714000		0.775200
0.783565		0.560031		0.321285		0.739232		0.024861		0.472300		0.762400		0.714000		0.767600
0.774554		0.542127		0.322542		0.739232		0.019935		0.460769		0.687600		0.714000		0.760400
0.682105		0.576556		0.326835		0.739232		0.025119		0.490505		0.746400		0.714000		0.762400
0.753289		0.557451		0.342997		0.739232		0.016494		0.461573		0.797200		0.712800		0.779600
0.819968		0.557985		0.405221		0.738872		0.010417		0.461853		0.780000		0.714000		0.764000
0.798522		0.578332		0.338753		0.739232		0.020392		0.480777		0.786400		0.714000		0.765200
0.811858		0.557039		0.317753		0.739232		0.020088		0.464070		0.795200		0.714000		0.770000
0.809876		0.532705		0.317692		0.739232		0.019206		0.449081		0.768400		0.714000		0.776800
0.779780		0.531412		0.317762		0.739232		0.022997		0.457161		0.779200		0.714000		0.780000
0.788250		0.525650		0.317976		0.739232		0.024114		0.452988		0.791600		0.714000		0.778000
0.815642		0.518569		0.318473		0.739232		0.022871		0.444724		0.790400		0.714000		0.784000
0.814021		0.527664		0.319452		0.739232		0.024305		0.452761		0.794800		0.714000		0.780400
0.818165		0.523223		0.321415		0.739232		0.022630		0.447338		0.796400		0.714000		0.778400
0.811317		0.519690		0.326439		0.739232		0.020791		0.444363		0.779200		0.714000		0.779200
0.796360		0.525038		0.337753		0.739052		0.019804		0.447931		0.785600		0.714000		0.772400
0.805010		0.525680		0.320923		0.739232		0.020042		0.444663		0.790000		0.714000		0.770800
0.815282		0.527865		0.318813		0.739232		0.019534		0.444495		0.797200		0.714000		0.772000
0.817445		0.531745		0.318046		0.739232		0.019890		0.447511		0.793600		0.714000		0.771200
0.817625		0.529284		0.317689		0.739232		0.019605		0.445788		0.794400		0.714000		0.772800
0.812579		0.525327		0.317536		0.739232		0.019643		0.444211		0.787600		0.714000		0.774000
0.807893		0.523537		0.317483		0.739232		0.020424		0.444733		0.790400		0.714000		0.775600
0.811137		0.520539		0.317491		0.739232		0.020616		0.442527		0.800000		0.714000		0.778400
0.818526		0.519725		0.317557		0.739052		0.020836		0.441909		0.801200		0.714000		0.778800
0.818706		0.520065		0.317716		0.739052		0.021245		0.442743		0.799200		0.714000		0.778000
